id;file_name;file_value;process_date
1;feed Agent Rustic;82681;2020-02-17T15:38:54
2;Personal Loan Account;60616;2020-02-17T13:02:37
3;North Dakota Borders;74377;2020-02-17T04:51:34
4;withdrawal Sports;7146;2020-02-17T00:54:23
5;Programmable Multi-tiered Group;10198;2020-02-16T21:52:02
6;Strategist communities deposit;96697;2020-02-17T08:11:19
7;Credit Card Account;13368;2020-02-17T02:58:32
8;Refined Granite Gloves Electronics;94021;2020-02-17T15:07:21
9;real-time card Buckinghamshire;45060;2020-02-17T08:05:06
10;seize;32843;2020-02-16T23:07:24
